nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
,,1362.9832000732422,1347.6007995605469,1360.976806640625,1337.5688171386719,1357.2984008789062,1332.218406677246,1376.0247955322266,,1401.1047973632812,1314.8296127319336,1332.8872146606445,1291.0872192382812,1347.9352111816406,1270.3544311523438,1326.5336151123047,,,749.709098815918,747.0333938598633,750.3780288696289,755.3949813842773,772.7871017456055,775.1283493041992,797.8718795776367,,799.878662109375,809.24365234375,817.9397125244141,845.0312805175781,840.3487854003906,868.7781829833984,874.1296234130859
1372.5999603271484,1370.3499298095703,1372.2785186767578,1354.5996704101562,1369.3856353759766,1345.9209594726562,1362.3140716552734,,1379.3500671386719,,1398.3146514892578,1323.0991821289062,1341.4209060668945,1302.8488693237305,1351.3853454589844,1276.8127479553223,1326.3135223388672,751.6048049926758,748.0774879455566,748.7188148498535,746.153491973877,750.0014801025391,754.1701278686523,770.2033920288086,,796.1772918701172,,799.7046127319336,804.8352508544922,813.4932098388672,838.1844482421875,839.1464385986328,866.7236480712891,875.0609741210938
,,,1359.2610778808594,1373.069107055664,1353.480972290039,1369.5368194580078,1366.3256530761719,1381.4181518554688,,1407.1075286865234,1328.4338455200195,1346.7375183105469,1312.3779907226562,1350.9120330810547,1283.4774627685547,1326.8282623291016,,,,742.6910018920898,747.8241729736328,750.069938659668,770.2818069458008,730.8205337524414,794.6643753051758,,802.364143371582,802.364143371582,811.6680221557617,832.2007141113281,844.0711669921875,863.3205871582031,872.9452819824219
,,,1367.2711334228516,1381.878646850586,1357.2081756591797,1375.7110290527344,,1388.370864868164,,1413.0413208007812,1336.1084518432617,1352.014404296875,1319.5532760620117,1353.3128509521484,1293.259765625,1327.668556213379,,,,742.1746826171875,745.7447662353516,752.2358169555664,767.4897842407227,,794.1030807495117,,802.2169036865234,801.8923492431641,810.9798126220703,828.8302154541016,846.6806030273438,857.7153778076172,872.6447906494141
,,,1373.0617370605469,1386.8630981445312,1365.5038452148438,1382.2626495361328,,1394.0923767089844,,1416.4374694824219,1343.4873733520508,1358.9317626953125,1328.7001953125,1355.9743270874023,1301.0974655151367,1328.0429992675781,,,,742.3028182983398,744.6000671386719,751.1636199951172,765.6034469604492,,792.1858444213867,,802.6875381469727,800.0621185302734,809.2510833740234,824.3472900390625,846.9915466308594,854.8678283691406,872.26123046875
,,,1380.3722229003906,1394.8738555908203,1371.3489837646484,1388.7509460449219,1356.2028350830078,1400.9967651367188,1356.5250930786133,1425.4884033203125,1350.7244338989258,1365.2260665893555,1340.4121627807617,1358.7808990478516,1313.664707183838,1330.4221496582031,,,,739.778694152832,742.6791915893555,746.8687896728516,763.6272201538086,734.2999725341797,789.731689453125,732.3663101196289,799.7222900390625,795.5326919555664,805.2010040283203,820.3480529785156,849.0307312011719,848.7084503173828,872.5569763183594
,,,1385.6259536743164,1400.110610961914,1375.5753707885742,1396.8589553833008,1363.455551147461,1414.0040740966797,1358.7258682250977,1436.4700775146484,1356.0654220581055,1371.7325057983398,1350.4489135742188,1362.568733215332,1333.3038024902344,1335.3730392456055,,,,736.5520324707031,739.5150833129883,742.7744369506836,763.219482421875,740.1076965332031,789.2943115234375,734.7742080688477,794.627799987793,796.9982452392578,805.2947845458984,817.7395782470703,844.9996337890625,842.0365905761719,870.4818725585938
,,,1390.1129989624023,1404.6331329345703,1380.148208618164,1404.9178466796875,1365.3433685302734,1423.4238891601562,1359.9339141845703,1426.8403930664062,1365.0586624145508,1380.717628479004,1364.7739562988281,1363.6351165771484,1354.8091583251953,1335.4489822387695,,,,733.0684967041016,737.9109802246094,741.0443572998047,758.9900360107422,738.7655410766602,782.917610168457,733.3533477783203,783.2024612426758,795.735954284668,803.7118072509766,813.3967742919922,847.2941741943359,840.1728820800781,870.6520385742188
1400.9564666748047,,,1395.121826171875,1410.0001525878906,1384.036018371582,1413.2091979980469,1368.8659744262695,1433.0469512939453,1363.3230667114258,1449.3839569091797,1373.2419509887695,1389.8706665039062,1376.1592636108398,1370.908088684082,1370.6163635253906,1369.7411727905273,721.1291961669922,,,731.9431266784668,735.4503479003906,741.880256652832,756.4936828613281,740.711181640625,773.7375259399414,731.3585891723633,773.7375259399414,793.6117706298828,799.1648864746094,813.1937713623047,841.8360748291016,836.5752410888672,840.9592742919922
1404.5310745239258,1410.0944061279297,1401.616943359375,1399.7624969482422,1416.1875762939453,1390.225357055664,1421.4859924316406,1374.5950393676758,1439.5006103515625,1373.005516052246,1440.560287475586,1382.2777404785156,1399.2326583862305,1381.4829788208008,1382.5426559448242,1399.2326583862305,1371.1510696411133,729.7359733581543,728.1475410461426,729.4712333679199,732.3833618164062,732.912841796875,743.5023956298828,753.0329971313477,743.7671356201172,762.8283386230469,737.1486663818359,762.5635986328125,793.273307800293,799.6270446777344,830.6014862060547,832.9841461181641,832.7194061279297,842.7794952392578
1409.039047241211,1409.322364807129,1409.039047241211,1407.0558395385742,1421.5048904418945,1397.9897842407227,1431.7042236328125,1382.124168395996,1449.5530395507812,1384.6739959716797,1456.3525848388672,1392.606803894043,1410.4556274414062,1411.0222473144531,1390.9069213867188,1419.5216903686523,1420.6549453735352,729.2331314086914,727.8139533996582,727.2462844848633,731.5038146972656,731.5038146972656,745.4117431640625,750.2369384765625,742.8572235107422,756.1974868774414,727.5301208496094,746.2632446289062,793.9475708007812,798.4889373779297,813.2483520507812,829.7108001708984,830.2784729003906,831.9814758300781
,1414.2456893920898,1416.252426147461,1414.7473754882812,1429.7978744506836,1406.2187576293945,1440.3332061767578,1393.9275207519531,1441.587417602539,1398.1918182373047,,1404.2120208740234,1421.2692489624023,1424.0285034179688,1425.031883239746,1431.5537643432617,1431.5537643432617,,729.2854232788086,727.0248641967773,732.8018417358398,731.7971496582031,746.6163330078125,749.6304016113281,742.3463973999023,745.1092987060547,725.0154876708984,,795.0926513671875,797.3531951904297,817.9493713378906,819.4563751220703,837.5408172607422,837.5408172607422
1424.0261840820312,1421.2773132324219,1424.0261840820312,1422.2769012451172,1438.5201721191406,1413.7804260253906,1448.2661437988281,1405.283950805664,1445.0174865722656,1408.0328063964844,1437.0207977294922,1412.7808380126953,1431.0232849121094,1404.0344619750977,1435.5214157104492,,1438.5201721191406,722.7725143432617,725.7712097167969,723.7720794677734,731.018928527832,731.2688217163086,747.0119781494141,749.0111083984375,746.7620849609375,738.7655639648438,738.2657775878906,729.0197982788086,795.2410125732422,798.2397079467773,839.4717864990234,816.4817810058594,,837.47265625
,,1432.5391311645508,1431.0278549194336,1444.881103515625,1420.952781677246,1455.9636993408203,,1456.215560913086,,1443.6217193603516,1421.456527709961,1440.5991973876953,1421.2046508789062,1442.3623352050781,1438.3322982788086,1438.3322982788086,,,726.4059715270996,733.2164688110352,731.4507865905762,746.3329849243164,747.3419494628906,,765.5032730102539,,745.3240203857422,793.7542266845703,794.5109558105469,836.3829040527344,809.1409149169922,841.1754760742188,838.653076171875
