nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
1373.9502701532276,1375.0814150855654,1368.6890407743906,1347.608619508289,1361.3925708589097,1337.938894907633,1357.106959206717,1328.539399828229,1376.5783636910573,,1399.6783559890023,1314.9793485005696,1333.6965035938076,1292.2679007393967,1348.6868247985838,1271.4253914242697,1326.9269007728215,750.153585524786,745.7048752194355,747.1819381713866,746.8179149627683,750.5845242454894,754.5890944344654,772.7314164297919,781.2601725260417,797.7690892900739,,798.7561451139903,808.7111692882718,817.2123374938963,844.6814041137693,838.5667975289477,868.9454156784781,874.4640546526226
1370.5744955880307,1367.511038643973,1366.8631602696012,1354.011711665562,1368.010262625558,1345.4511190141948,1362.9417501177106,1344.6045733860556,1378.4720524379186,,1401.868229457311,1322.2489416939873,1340.1114512852255,1301.5230985368996,1349.8560594831197,1275.9834807259695,1326.172430310931,753.7816341945103,749.5010555812288,750.4473149435861,745.5681495666503,749.4245071411136,754.0518608093261,770.9255736214773,758.6407606942315,796.3685275486538,,801.2712669372562,805.6785905020577,814.6136708940777,838.4831771850585,841.8497358049664,866.3578044346398,874.0569141932898
1370.5744955880307,1364.6721474783758,1367.4233638218473,1360.4167273385183,1374.5833326067245,1352.4855760846817,1369.0752138410298,1356.2676816667827,1382.035486493792,1356.2106966291158,1405.6074861798977,1329.382289886475,1346.4795690264016,1310.9267011369975,1351.4683712550577,1282.7207919529508,1326.2333232334688,753.7816341945104,750.9246232169014,751.5392039162773,744.1814065660749,748.0076751708988,752.9956545148576,769.1773027692522,742.4017034258164,794.941012791225,732.022324698312,802.5604280744285,803.0355666024343,812.2410975864955,832.9727935791016,844.3429489135742,863.0236958095003,873.5749827793669
1373.9502701532285,1366.5647415887756,1370.3696514311305,1366.823666527159,1381.11178080241,1359.0422661190955,1375.5073503766753,1363.5287246704115,1387.2686658586788,1356.315495445616,1410.8961261567629,1336.3793930780332,1352.8008568173377,1320.4787085396915,1353.5237601143986,1291.6373251052141,1327.1095795404358,750.1535855247868,749.9755781264539,750.4576050894609,742.657685961043,746.3340283348455,751.4204755510609,767.4866038731172,732.5430007207968,793.4865450177881,732.1369865054182,802.6236285255077,800.7820975894026,810.0946175711504,828.1502532958991,846.0464368547721,858.9430898030607,873.0182604108546
1382.0521291097018,1372.2425239199697,1373.6755865187884,1373.4537168230345,1387.6218247186584,1364.9952650524335,1382.2539945329952,1366.3652648925795,1394.0748182024288,1356.5148398989736,1420.317302885511,1342.9805257888079,1358.4332460675932,1329.2347172328418,1355.942103068035,1301.7299561273496,1328.9487678891148,741.4462687174487,747.128442855109,747.8022633507146,741.2916721162348,744.2350983392631,749.5655779157373,766.0972936721082,728.1649373372403,792.4759899321064,732.6162919544046,802.6480767386308,799.1395158313577,808.4914699736103,824.3885272798092,847.5019051688066,853.5664876302092,872.1854596819204
1391.5042978922538,,,1379.9103949410587,1394.255050659181,1370.6168263753268,1389.1609925769637,1361.7490895589203,1402.9528626941512,1356.9934343610503,1423.929822649276,1350.1208361671097,1365.0260859898171,1339.6993800572,1358.568014962334,1316.0990322658008,1328.079286847797,731.2877324422208,,,739.4305354527071,742.2792114984429,747.030952453614,764.010314214798,734.8268563406815,791.0124301002147,733.2912597656257,799.3334673926952,797.7154337565112,806.9567275274376,820.5166466122589,847.8700975690576,848.3932756696437,874.592325119746
1399.2657180059537,1396.8462473551444,1391.8374684651706,1385.3703064691467,1399.6320720854274,1375.7982511974528,1396.7641401745036,1361.7714084443605,1412.8679751441605,1357.6342086792006,1431.40592302595,1357.1701009841204,1372.4620415823815,1352.2269036429282,1361.0196885608502,1332.101259504047,1335.169110979354,722.4239091419045,734.7908566792813,735.8870938618984,736.503291357132,740.142030625117,743.5502450125565,762.0707495553161,737.3603221348361,787.8506309872589,732.8515308925091,793.3170140584317,796.0614260718943,804.5035502115893,815.2574186779211,847.623820713589,843.8573223295674,869.5923876081201
1403.3979750133708,1408.275339762371,1399.5130084809816,1390.2593656267452,1405.2164204915377,1379.8305504208533,1404.6481388637012,1364.1346054077162,1422.8797462100088,1359.905936104912,1435.9796629406171,1364.6701449439652,1380.4401822771356,1361.871776035855,1365.5483293079208,1352.6018518720366,1342.197710309711,718.3050104777026,729.1283563886377,730.5996847606848,733.8725397019166,737.6065612066367,741.5810234433136,759.5004345121845,740.1484698341014,781.882272266207,734.2391564505447,784.8364421299533,794.867161705381,802.4640372140075,817.0016595749636,844.9863528297069,839.3748633975082,861.9397691999171
1402.3626679920026,1413.3739424205974,1404.0775240943558,1394.900568644207,1410.0203984578463,1384.5739764258988,1413.2575549171097,1369.436700730098,1434.018030075801,1364.8411342075906,1441.1846567789726,1372.9931353614456,1389.6366740635476,1374.580409822011,1369.820221673876,1375.5526181175608,1360.56764984131,721.676968892416,726.0934257507331,727.5532680693134,732.1580717904235,735.1047323317762,741.8109813871845,756.2594284784234,741.7036358061298,774.1634187244241,732.9895095825202,772.4505288260332,794.3297489711224,800.9728611537396,817.7483287992939,841.0323588053393,835.1346224830272,850.2142181396492
1403.414849780856,1409.4018245878688,1403.6941143217555,1400.4847088768383,1415.6368927728577,1390.672458103726,1422.1612112862736,1374.6876093546562,1440.4330960228342,1373.327658880326,1448.616116478331,1382.9122020176492,1399.8588296799446,1392.9005021594833,1381.8337787446535,1398.3252650669656,1385.412191118514,722.2247416178392,728.4411021641329,729.0288289388028,731.8968702043812,733.3176879882819,743.4132385253913,753.000706627256,741.779839651926,761.6003141857336,732.1541575477244,761.8596064249682,793.6322145007913,799.0208703903933,819.105772472564,835.1170995803113,833.5306861514146,840.2747846330924
